Titulo,Codigo Postal,Precio,Recamaras,Banos,Estacionamientos,NoPisos,Edad,Area Terreno,Area Construida,Tamaño Jardin
 Colonia Chapultepec Country,44620,14500000.0,6.0,5.0,2.0,0.0,346.0,386.0,,
 Colonia Vallarta San Jorge,44690,6300000.0,3.0,3.0,1.0,0.0,225.0,196.0,,
 Colonia Santa Elena de La Cruz,44230,660000.0,3.0,2.0,2.0,1.0,0.0,57.0,77.0,
 Colonia Del Sur,44920,2950000.0,3.0,2.0,2.0,2.0,25.0,136.0,174.0,
 Colonia Jardines Alcalde,44298,750000.0,4.0,2.0,2.0,2.0,12.0,171.0,250.0,
 Colonia Santa Mónica,44220,3130000.0,4.0,1.0,1.0,1.0,16.0,180.0,130.0,
 Colonia Arcos Vallarta,44130,8500000.0,5.0,6.0,3.0,2.0,20.0,276.0,338.0,30.0
 Colonia Guadalajara Centro,44100,1750000.0,2.0,1.0,1.0,1.0,0.0,72.0,60.0,
 Colonia Bosques de La Victoria,44540,815000.0,3.0,3.0,2.0,1.0,0.0,260.0,179.0,
 Colonia Lomas de San Eugenio,44720,1850000.0,4.0,2.0,2.0,20.0,105.0,175.0,,
 Colonia Prados de Providencia,44670,12600000.0,5.0,2.0,3.0,38.0,456.0,492.0,,
 Colonia Jardines Alcalde,44298,5550000.0,5.0,5.0,1.0,2.0,0.0,163.0,310.0,
 Colonia Jardines del Bosque Norte,44520,6950000.0,3.0,2.0,2.0,1.0,51.0,275.0,245.0,
 Colonia Belisario Dominguez,44329,2100000.0,4.0,2.0,1.0,30.0,200.0,120.0,,
 Colonia Jardines de San José,44950,490000.0,4.0,2.0,2.0,2.0,10.0,175.0,350.0,10.0
 Colonia Prados de Providencia,44670,11800000.0,4.0,6.0,3.0,2.0,0.0,250.0,404.0,
 Colonia Santa María,44350,5200000.0,4.0,5.0,3.0,2.0,34.0,213.0,355.0,
 Colonia Guadalajara Centro,44100,27000000.0,1.0,1.0,1.0,50.0,1310.0,,,
 Colonia Oblatos,44700,349500.0,4.0,2.0,2.0,0.0,160.0,290.0,,
 Colonia Lomas de Guevara,44657,14500000.0,3.0,3.0,2.0,1.0,8.0,258.0,400.0,25.0
 Colonia Residencial San Andrés,44810,580000.0,3.0,2.0,2.0,2.0,18.0,130.0,165.0,
 Colonia Agustín Yánez,44790,515000.0,3.0,1.0,2.0,2.0,16.0,96.0,137.0,
 Colonia Country Club,44610,9500000.0,3.0,2.0,2.0,0.0,229.0,300.0,,
 Colonia Vallarta San Lucas,44690,10000000.0,3.0,2.0,2.0,31.0,191.0,209.0,,
 Colonia Rinconada Santa Rita,44690,13000000.0,3.0,3.0,2.0,0.0,462.0,368.0,,
 Colonia Arcos Vallarta,44130,6500000.0,5.0,4.0,2.0,2.0,0.0,210.0,246.0,
 Guadalajara,44766,2800000.0,3.0,2.0,2.0,0.0,137.0,139.0,,
 Colonia Bosques de La Victoria,44540,880000.0,4.0,3.0,2.0,0.0,250.0,,,
 Colonia Colomos Providencia,44660,11000000.0,3.0,3.0,3.0,39.0,325.0,247.0,,
 Colonia Tetlán Rio Verde,44727,1250000.0,3.0,1.0,0.0,74.0,67.0,,,
 Colonia Americana,44160,8100000.0,5.0,2.0,0.0,300.0,288.0,,,
 Colonia Obrera Centro,44140,28000000.0,7.0,4.0,10.0,2.0,30.0,708.0,687.0,60.0
 Colonia Balcones de Huentitán,44250,110000000.0,2.0,1.0,1.0,1.0,14.0,100.0,100.0,
 Colonia San Eugenio,44724,265000.0,4.0,3.0,2.0,2.0,0.0,140.0,290.0,
 Colonia Valle Del Álamo,44440,500000.0,4.0,3.0,2.0,2.0,10.0,115.0,230.0,
 Colonia Jardines de los Poetas,44820,3500000.0,3.0,3.0,2.0,0.0,80.0,117.0,,
 Colonia Prados de Providencia,44670,9500000.0,3.0,4.0,3.0,2.0,20.0,220.0,355.0,
 Colonia Circunvalación Oblatos,44716,4900000.0,6.0,3.0,1.0,54.0,412.0,396.0,,
 Colonia San Antonio,44800,4500000.0,2.0,1.0,4.0,2.0,4.0,231.0,169.0,20.0
 Colonia Obrera Centro,44140,8858000.0,3.0,4.0,3.0,13.0,92.0,172.0,,
 Colonia Jardines de La Cruz 1a. Sección,44950,2365000.0,3.0,1.0,1.0,2.0,0.0,169.0,258.0,
